id,ili,wikidata
ewn-00077016-n,i35808,http://www.wikidata.org/entity/Q1398885
ewn-00077143-n,i35809,http://www.wikidata.org/entity/Q16354855
ewn-00079356-n,i35820,http://www.wikidata.org/entity/Q194465
ewn-00080572-n,i35826,http://www.wikidata.org/entity/Q15627128
ewn-00080728-n,i35827,http://www.wikidata.org/entity/Q106526
ewn-00081062-n,i35829,http://www.wikidata.org/entity/Q854623
ewn-00081563-n,i35832,http://www.wikidata.org/entity/Q1508707
ewn-00081788-n,i35833,http://www.wikidata.org/entity/Q1939618
ewn-00081994-n,i35834,http://www.wikidata.org/entity/Q1406345
ewn-00082215-n,i35835,http://www.wikidata.org/entity/Q6014286
ewn-00082392-n,i35836,http://www.wikidata.org/entity/Q1369832
ewn-00082656-n,i35837,http://www.wikidata.org/entity/Q830036
ewn-00083345-n,i35841,http://www.wikidata.org/entity/Q424543
ewn-00084549-n,i35847,http://www.wikidata.org/entity/Q829492
ewn-00085715-n,i35851,http://www.wikidata.org/entity/Q3824105
ewn-00086498-n,i35855,http://www.wikidata.org/entity/Q275038
ewn-00086649-n,i35856,http://www.wikidata.org/entity/Q186302
ewn-00086960-n,i35857,http://www.wikidata.org/entity/Q86757
ewn-00087474-n,i35860,http://www.wikidata.org/entity/Q2566803
ewn-00088483-n,i35865,http://www.wikidata.org/entity/Q618779
ewn-00088974-n,i35867,http://www.wikidata.org/entity/Q4927195
ewn-00089187-n,i35868,http://www.wikidata.org/entity/Q1136450
ewn-00089301-n,i35869,http://www.wikidata.org/entity/Q21590077
ewn-00089545-n,i35870,http://www.wikidata.org/entity/Q1403016
ewn-00089847-n,i35871,http://www.wikidata.org/entity/Q1361229
ewn-00090171-n,i35873,http://www.wikidata.org/entity/Q166778
ewn-00090477-n,i35874,http://www.wikidata.org/entity/Q5129769
ewn-00090711-n,i35875,http://www.wikidata.org/entity/Q7314182
ewn-00090896-n,i35876,http://www.wikidata.org/entity/Q28147639
ewn-00092599-n,i35886,http://www.wikidata.org/entity/Q852170
ewn-00092797-n,i35888,http://www.wikidata.org/entity/Q13417167
ewn-00093186-n,i35890,http://www.wikidata.org/entity/Q177923
ewn-00093947-n,i35894,http://www.wikidata.org/entity/Q7113578
ewn-00094303-n,i35896,http://www.wikidata.org/entity/Q1341429
ewn-00094694-n,i35897,http://www.wikidata.org/entity/Q10751894
ewn-00095060-n,i35899,http://www.wikidata.org/entity/Q164361
ewn-00095320-n,i35900,http://www.wikidata.org/entity/Q44777
ewn-00095608-n,i35901,http://www.wikidata.org/entity/Q814997
ewn-00095774-n,i35902,http://www.wikidata.org/entity/Q217170
ewn-00095941-n,i35903,http://www.wikidata.org/entity/Q28893
ewn-00097031-n,i35908,http://www.wikidata.org/entity/Q820382
ewn-00097333-n,i35910,http://www.wikidata.org/entity/Q192054
ewn-00097671-n,i35912,http://www.wikidata.org/entity/Q1414572
ewn-00097789-n,i35913,http://www.wikidata.org/entity/Q79791
ewn-00098064-n,i35915,http://www.wikidata.org/entity/Q1671839
ewn-00098743-n,i35918,http://www.wikidata.org/entity/Q257385
ewn-00098871-n,i35919,http://www.wikidata.org/entity/Q1755793
ewn-00099205-n,i35920,http://www.wikidata.org/entity/Q517596
ewn-00099445-n,i35921,http://www.wikidata.org/entity/Q7406919
ewn-00099759-n,i35923,http://www.wikidata.org/entity/Q1369310
ewn-00099881-n,i35924,http://www.wikidata.org/entity/Q1423019
ewn-00100259-n,i35926,http://www.wikidata.org/entity/Q1363276
ewn-00100408-n,i35927,http://www.wikidata.org/entity/Q214961
ewn-00100619-n,i35928,http://www.wikidata.org/entity/Q194326
ewn-00100771-n,i35929,http://www.wikidata.org/entity/Q148442
ewn-00101257-n,i35931,http://www.wikidata.org/entity/Q1414487
ewn-00102390-n,i35937,http://www.wikidata.org/entity/Q2617171
ewn-00102859-n,i35940,http://www.wikidata.org/entity/Q1242951
ewn-00102982-n,i35941,http://www.wikidata.org/entity/Q815323
ewn-00103194-n,i35942,http://www.wikidata.org/entity/Q312543
ewn-00103277-n,i35943,http://www.wikidata.org/entity/Q184199
ewn-00104111-n,i35947,http://www.wikidata.org/entity/Q596643
ewn-00104410-n,i35949,http://www.wikidata.org/entity/Q2992372
ewn-00105796-n,i35956,http://www.wikidata.org/entity/Q3177899
ewn-00107957-n,i35967,http://www.wikidata.org/entity/Q329285
ewn-00108099-n,i35968,http://www.wikidata.org/entity/Q1069344
ewn-00108371-n,i35970,http://www.wikidata.org/entity/Q4876271
ewn-00108504-n,i35971,http://www.wikidata.org/entity/Q1061998
ewn-00108695-n,i35972,http://www.wikidata.org/entity/Q15710733
ewn-00109001-n,i35974,http://www.wikidata.org/entity/Q1140647
ewn-00109247-n,i35975,http://www.wikidata.org/entity/Q44459
ewn-00109485-n,i35977,http://www.wikidata.org/entity/Q859991
ewn-00109638-n,i35978,http://www.wikidata.org/entity/Q846196
ewn-00109901-n,i35980,http://www.wikidata.org/entity/Q608445
ewn-00110047-n,i35981,http://www.wikidata.org/entity/Q2311378
ewn-00110591-n,i35983,http://www.wikidata.org/entity/Q850703
ewn-00110712-n,i35984,http://www.wikidata.org/entity/Q1185489
ewn-00111374-n,i35987,http://www.wikidata.org/entity/Q870803
ewn-00111784-n,i35990,http://www.wikidata.org/entity/Q1191341
ewn-00112178-n,i35992,http://www.wikidata.org/entity/Q1569957
ewn-00112323-n,i35993,http://www.wikidata.org/entity/Q838913
ewn-00112480-n,i35994,http://www.wikidata.org/entity/Q72698
ewn-00112892-n,i35997,http://www.wikidata.org/entity/Q7123352
ewn-00115856-n,i36011,http://www.wikidata.org/entity/Q4174178
ewn-00116112-n,i36012,http://www.wikidata.org/entity/Q332030
ewn-00116942-n,i36017,http://www.wikidata.org/entity/Q1385001
ewn-00117809-n,i36020,http://www.wikidata.org/entity/Q220277
ewn-00117944-n,i36021,http://www.wikidata.org/entity/Q4811856
ewn-00118087-n,i36022,http://www.wikidata.org/entity/Q506923
ewn-00118398-n,i36023,http://www.wikidata.org/entity/Q209789
ewn-00118779-n,i36025,http://www.wikidata.org/entity/Q1044679
ewn-00119088-n,i36026,http://www.wikidata.org/entity/Q3443277
ewn-00119372-n,i36028,http://www.wikidata.org/entity/Q740540
ewn-00119553-n,i36029,http://www.wikidata.org/entity/Q127076
ewn-00119899-n,i36030,http://www.wikidata.org/entity/Q4358147
ewn-00120030-n,i36031,http://www.wikidata.org/entity/Q1570161
ewn-00120222-n,i36033,http://www.wikidata.org/entity/Q391556
ewn-00120388-n,i36034,http://www.wikidata.org/entity/Q1151752
ewn-00121335-n,i36038,http://www.wikidata.org/entity/Q1031196
ewn-00122724-n,i36045,http://www.wikidata.org/entity/Q4393776
ewn-00123350-n,i36048,http://www.wikidata.org/entity/Q2192732
ewn-00123481-n,i36049,http://www.wikidata.org/entity/Q206989
ewn-00125162-n,i36059,http://www.wikidata.org/entity/Q2328286
ewn-00125437-n,i36061,http://www.wikidata.org/entity/Q2406205
ewn-00126920-n,i36068,http://www.wikidata.org/entity/Q770709
ewn-00127404-n,i36071,http://www.wikidata.org/entity/Q810903
ewn-00128106-n,i36076,http://www.wikidata.org/entity/Q587180
ewn-00128686-n,i36079,http://www.wikidata.org/entity/Q1141278
ewn-00128911-n,i36080,http://www.wikidata.org/entity/Q1355676
ewn-00129866-r,i18978,http://www.wikidata.org/entity/Q1046806
ewn-00130137-n,i36087,http://www.wikidata.org/entity/Q860985
ewn-00130563-n,i36090,http://www.wikidata.org/entity/Q1183721
ewn-00130913-n,i36091,http://www.wikidata.org/entity/Q1046690
ewn-00131167-n,i36092,http://www.wikidata.org/entity/Q1154763
ewn-00131493-n,i36094,http://www.wikidata.org/entity/Q1071368
ewn-00131807-n,i36096,http://www.wikidata.org/entity/Q1133729
ewn-00131910-n,i36097,http://www.wikidata.org/entity/Q713493
ewn-00132167-n,i36098,http://www.wikidata.org/entity/Q449182
ewn-00132611-n,i36101,http://www.wikidata.org/entity/Q7435298
ewn-00133175-n,i36106,http://www.wikidata.org/entity/Q534851
ewn-00134488-n,i36115,http://www.wikidata.org/entity/Q1416244
ewn-00134919-n,i36118,http://www.wikidata.org/entity/Q668642
ewn-00135600-n,i36123,http://www.wikidata.org/entity/Q1973927
ewn-00136619-n,i36128,http://www.wikidata.org/entity/Q1569895
ewn-00136772-n,i36129,http://www.wikidata.org/entity/Q1547294
ewn-00136868-n,i36130,http://www.wikidata.org/entity/Q7278640
ewn-00136972-n,i36131,http://www.wikidata.org/entity/Q7633099
ewn-00137149-n,i36133,http://www.wikidata.org/entity/Q206864
ewn-00138099-n,i36137,http://www.wikidata.org/entity/Q417768
ewn-00138529-n,i36139,http://www.wikidata.org/entity/Q242415
ewn-00139041-n,i36142,http://www.wikidata.org/entity/Q7307
ewn-00139619-n,i36146,http://www.wikidata.org/entity/Q842392
ewn-00140364-n,i36148,http://www.wikidata.org/entity/Q1169456
ewn-00140578-n,i36149,http://www.wikidata.org/entity/Q1594352
ewn-00141847-n,i36156,http://www.wikidata.org/entity/Q1072616
ewn-00142216-n,i36158,http://www.wikidata.org/entity/Q41482
ewn-00142489-n,i36159,http://www.wikidata.org/entity/Q1068755
ewn-00143181-n,i36162,http://www.wikidata.org/entity/Q835153
ewn-00143485-n,i36163,http://www.wikidata.org/entity/Q1720648
ewn-00144583-n,i36168,http://www.wikidata.org/entity/Q59305610
ewn-00144705-n,i36169,http://www.wikidata.org/entity/Q795090
ewn-00145002-n,i36170,http://www.wikidata.org/entity/Q4851900
ewn-00145265-n,i36171,http://www.wikidata.org/entity/Q526046
ewn-00146038-n,i36175,http://www.wikidata.org/entity/Q1480529
ewn-00146599-n,i36176,http://www.wikidata.org/entity/Q2466936
ewn-00146749-n,i36177,http://www.wikidata.org/entity/Q1665949
ewn-00147911-n,i36183,http://www.wikidata.org/entity/Q862212
ewn-00149266-n,i36191,http://www.wikidata.org/entity/Q1764560
ewn-00149473-n,i36192,http://www.wikidata.org/entity/Q211387
ewn-00149656-n,i36194,http://www.wikidata.org/entity/Q6501125
ewn-00150328-n,i36198,http://www.wikidata.org/entity/Q131172
ewn-00150519-n,i36199,http://www.wikidata.org/entity/Q613527
ewn-00150715-n,i36200,http://www.wikidata.org/entity/Q2327972
ewn-00151048-n,i36202,http://www.wikidata.org/entity/Q1134569
ewn-00151199-n,i36203,http://www.wikidata.org/entity/Q306823
ewn-00151907-n,i36207,http://www.wikidata.org/entity/Q5720030
ewn-00153339-n,i36215,http://www.wikidata.org/entity/Q476697
ewn-00153925-n,i36218,http://www.wikidata.org/entity/Q177719
ewn-00154108-n,i36219,http://www.wikidata.org/entity/Q1136569
ewn-00154319-n,i36220,http://www.wikidata.org/entity/Q65282146
ewn-00154485-n,i36221,http://www.wikidata.org/entity/Q592442
ewn-00155053-n,i36224,http://www.wikidata.org/entity/Q212108
ewn-00155509-n,i36226,http://www.wikidata.org/entity/Q289845
ewn-00156307-n,i36230,http://www.wikidata.org/entity/Q1088998
ewn-00156617-n,i36231,http://www.wikidata.org/entity/Q1164536
ewn-00159625-n,i36246,http://www.wikidata.org/entity/Q789195
ewn-00159816-n,i36247,http://www.wikidata.org/entity/Q690194
ewn-00160216-n,i36249,http://www.wikidata.org/entity/Q366
ewn-00160440-n,i36250,http://www.wikidata.org/entity/Q1053973
ewn-00160893-n,i36252,http://www.wikidata.org/entity/Q6033072
ewn-00161235-n,i36254,http://www.wikidata.org/entity/Q1527023
ewn-00162063-n,i36259,http://www.wikidata.org/entity/Q12888920
ewn-00162423-n,i36260,http://www.wikidata.org/entity/Q849891
ewn-00162708-n,i36262,http://www.wikidata.org/entity/Q49908
ewn-00163238-n,i36265,http://www.wikidata.org/entity/Q1517706
ewn-00164227-n,i36269,http://www.wikidata.org/entity/Q3562978
ewn-00166119-n,i36278,http://www.wikidata.org/entity/Q7519600
ewn-00166384-n,i36279,http://www.wikidata.org/entity/Q17119753
ewn-00166614-n,i36280,http://www.wikidata.org/entity/Q1076136
ewn-00167373-n,i36284,http://www.wikidata.org/entity/Q102877
ewn-00167686-n,i36286,http://www.wikidata.org/entity/Q205730
ewn-00168267-n,i36289,http://www.wikidata.org/entity/Q842046
ewn-00168585-n,i36291,http://www.wikidata.org/entity/Q20819848
ewn-00168771-n,i36292,http://www.wikidata.org/entity/Q208544
ewn-00168942-n,i36293,http://www.wikidata.org/entity/Q592753
ewn-00169326-n,i36295,http://www.wikidata.org/entity/Q267917
ewn-00169459-v,i22558,http://www.wikidata.org/entity/Q178113
ewn-00169479-n,i36296,http://www.wikidata.org/entity/Q2918584
ewn-00171357-n,i36307,http://www.wikidata.org/entity/Q376551
ewn-00171531-n,i36309,http://www.wikidata.org/entity/Q1928883
ewn-00171665-n,i36310,http://www.wikidata.org/entity/Q1281158
ewn-00172328-n,i36313,http://www.wikidata.org/entity/Q191062
ewn-00172439-n,i36314,http://www.wikidata.org/entity/Q931092
ewn-00172894-n,i36316,http://www.wikidata.org/entity/Q427117
ewn-00173311-n,i36319,http://www.wikidata.org/entity/Q2099624
ewn-00175512-n,i36330,http://www.wikidata.org/entity/Q1032176
ewn-00175799-n,i36332,http://www.wikidata.org/entity/Q7252895
ewn-00176023-n,i36333,http://www.wikidata.org/entity/Q1058381
ewn-00176454-n,i36335,http://www.wikidata.org/entity/Q1155786
ewn-00176724-n,i36336,http://www.wikidata.org/entity/Q465778
ewn-00176901-n,i36337,http://www.wikidata.org/entity/Q2260952
ewn-00177458-n,i36340,http://www.wikidata.org/entity/Q6518556
ewn-00177615-n,i36341,http://www.wikidata.org/entity/Q7398530
ewn-00178632-n,i36346,http://www.wikidata.org/entity/Q5370734
ewn-00179026-n,i36348,http://www.wikidata.org/entity/Q608510
ewn-00180903-n,i36359,http://www.wikidata.org/entity/Q70196
ewn-00182040-n,i36364,http://www.wikidata.org/entity/Q966818
ewn-00182489-n,i36367,http://www.wikidata.org/entity/Q43109
ewn-00182630-n,i36368,http://www.wikidata.org/entity/Q40231
ewn-00183284-n,i36370,http://www.wikidata.org/entity/Q1076105
ewn-00183420-n,i36371,http://www.wikidata.org/entity/Q669262
ewn-00184089-n,i36375,http://www.wikidata.org/entity/Q1057954
ewn-00184206-n,i36376,http://www.wikidata.org/entity/Q615255
ewn-00184354-n,i36377,http://www.wikidata.org/entity/Q905151
ewn-00185211-n,i36380,http://www.wikidata.org/entity/Q337987
ewn-00185350-n,i36381,http://www.wikidata.org/entity/Q7578606
ewn-00185830-n,i36384,http://www.wikidata.org/entity/Q3275080
ewn-00186287-n,i36387,http://www.wikidata.org/entity/Q813687
ewn-00186627-n,i36389,http://www.wikidata.org/entity/Q228036
ewn-00187100-n,i36390,http://www.wikidata.org/entity/Q1364965
ewn-00187398-n,i36391,http://www.wikidata.org/entity/Q20862341
ewn-00188186-n,i36395,http://www.wikidata.org/entity/Q1317522
ewn-00188348-n,i36396,http://www.wikidata.org/entity/Q18533
ewn-00188559-n,i36397,http://www.wikidata.org/entity/Q763850
ewn-00188739-n,i36398,http://www.wikidata.org/entity/Q3492688
ewn-00188856-n,i36399,http://www.wikidata.org/entity/Q7096375
ewn-00189298-n,i36402,http://www.wikidata.org/entity/Q2298972
ewn-00189469-n,i36403,http://www.wikidata.org/entity/Q24906
ewn-00189615-n,i36404,http://www.wikidata.org/entity/Q650807
ewn-00189783-n,i36405,http://www.wikidata.org/entity/Q24923
ewn-00189955-n,i36406,http://www.wikidata.org/entity/Q2603777
ewn-00190512-v,i22667,http://www.wikidata.org/entity/Q1154724
ewn-00190745-n,i36410,http://www.wikidata.org/entity/Q906099
ewn-00191280-n,i36414,http://www.wikidata.org/entity/Q2298409
ewn-00191428-n,i36415,http://www.wikidata.org/entity/Q123086
ewn-00191780-n,i36417,http://www.wikidata.org/entity/Q201045
ewn-00192829-n,i36419,http://www.wikidata.org/entity/Q244772
ewn-00192998-n,i36420,http://www.wikidata.org/entity/Q1367555
ewn-00193462-n,i36423,http://www.wikidata.org/entity/Q319622
ewn-00193948-n,i36425,http://www.wikidata.org/entity/Q5970087
ewn-00194074-n,i36426,http://www.wikidata.org/entity/Q419793
ewn-00194255-n,i36427,http://www.wikidata.org/entity/Q352374
ewn-00195106-n,i36432,http://www.wikidata.org/entity/Q11395
ewn-00195263-n,i36433,http://www.wikidata.org/entity/Q385545
ewn-00195494-n,i36434,http://www.wikidata.org/entity/Q2738925
ewn-00196418-n,i36439,http://www.wikidata.org/entity/Q731453
ewn-00197697-n,i36444,http://www.wikidata.org/entity/Q1542886
ewn-00198967-n,i36450,http://www.wikidata.org/entity/Q19309690
ewn-00199119-n,i36451,http://www.wikidata.org/entity/Q333203
ewn-00199300-n,i36452,http://www.wikidata.org/entity/Q574433
ewn-00199642-n,i36454,http://www.wikidata.org/entity/Q464858
ewn-00200890-n,i36458,http://www.wikidata.org/entity/Q3030775
ewn-00201617-n,i36462,http://www.wikidata.org/entity/Q1376796
ewn-00203469-n,i36470,http://www.wikidata.org/entity/Q159377
ewn-00204602-n,i36476,http://www.wikidata.org/entity/Q204244
ewn-00205928-n,i36484,http://www.wikidata.org/entity/Q7313594
ewn-00206498-n,i36487,http://www.wikidata.org/entity/Q2821677
ewn-00207151-n,i36490,http://www.wikidata.org/entity/Q723838
ewn-00207628-n,i36492,http://www.wikidata.org/entity/Q5281373
ewn-00207776-n,i36493,http://www.wikidata.org/entity/Q873222
ewn-00208155-n,i36494,http://www.wikidata.org/entity/Q379693
ewn-00208283-n,i36495,http://www.wikidata.org/entity/Q186240
ewn-00208471-n,i36496,http://www.wikidata.org/entity/Q4922543
ewn-00208610-n,i36497,http://www.wikidata.org/entity/Q188863
ewn-00208990-n,i36498,http://www.wikidata.org/entity/Q175447
ewn-00209126-n,i36499,http://www.wikidata.org/entity/Q49822
ewn-00210150-n,i36505,http://www.wikidata.org/entity/Q7382504
ewn-00210529-n,i36508,http://www.wikidata.org/entity/Q615305
ewn-00211959-n,i36514,http://www.wikidata.org/entity/Q5135432
ewn-00212914-n,i36518,http://www.wikidata.org/entity/Q1054021
ewn-00213054-n,i36519,http://www.wikidata.org/entity/Q946865
ewn-00213527-n,i36522,http://www.wikidata.org/entity/Q1509918
ewn-00213901-n,i36524,http://www.wikidata.org/entity/Q1143371
ewn-00214349-n,i36527,http://www.wikidata.org/entity/Q210603
ewn-00215393-n,i36532,http://www.wikidata.org/entity/Q2457196
ewn-00215880-n,i36534,http://www.wikidata.org/entity/Q9680961
ewn-00216181-n,i36535,http://www.wikidata.org/entity/Q5282797
ewn-00216705-n,i36538,http://www.wikidata.org/entity/Q1060330
ewn-00216905-n,i36539,http://www.wikidata.org/entity/Q13563226
ewn-00217041-n,i36540,http://www.wikidata.org/entity/Q17052147
ewn-00218640-n,i36547,http://www.wikidata.org/entity/Q23906214
ewn-00219075-n,i36549,http://www.wikidata.org/entity/Q188721
ewn-00219294-n,i36550,http://www.wikidata.org/entity/Q465119
ewn-00220330-n,i36555,http://www.wikidata.org/entity/Q524931
ewn-00220723-n,i36558,http://www.wikidata.org/entity/Q100159
ewn-00220890-n,i36559,http://www.wikidata.org/entity/Q149086
ewn-00221086-n,i36560,http://www.wikidata.org/entity/Q2691275
ewn-00221276-n,i36561,http://www.wikidata.org/entity/Q3882220
ewn-00221389-n,i36562,http://www.wikidata.org/entity/Q132821
ewn-00221923-n,i36563,http://www.wikidata.org/entity/Q3882219
ewn-00222347-n,i36566,http://www.wikidata.org/entity/Q17197559
ewn-00222594-n,i36568,http://www.wikidata.org/entity/Q6647198
ewn-00222686-n,i36569,http://www.wikidata.org/entity/Q1136456
ewn-00222767-n,i36570,http://www.wikidata.org/entity/Q13414308
ewn-00222848-n,i36571,http://www.wikidata.org/entity/Q992216
ewn-00222931-n,i36572,http://www.wikidata.org/entity/Q1076426
ewn-00223022-n,i36573,http://www.wikidata.org/entity/Q6000508
ewn-00223243-n,i36575,http://www.wikidata.org/entity/Q5442467
ewn-00223352-n,i36576,http://www.wikidata.org/entity/Q10737
ewn-00223806-n,i36578,http://www.wikidata.org/entity/Q689846
ewn-00224229-n,i36581,http://www.wikidata.org/entity/Q133462
ewn-00224442-n,i36582,http://www.wikidata.org/entity/Q208088
ewn-00224721-n,i36584,http://www.wikidata.org/entity/Q4282505
ewn-00224850-n,i36585,http://www.wikidata.org/entity/Q15883433
ewn-00225937-n,i36590,http://www.wikidata.org/entity/Q1475448
ewn-00226017-n,i36591,http://www.wikidata.org/entity/Q216169
ewn-00226228-n,i36592,http://www.wikidata.org/entity/Q1259359
ewn-00226653-n,i36595,http://www.wikidata.org/entity/Q1145328
ewn-00227378-n,i36598,http://www.wikidata.org/entity/Q279330
ewn-00227578-n,i36599,http://www.wikidata.org/entity/Q661015
ewn-00227818-n,i36600,http://www.wikidata.org/entity/Q7316656
ewn-00228131-n,i36602,http://www.wikidata.org/entity/Q172336
ewn-00228351-n,i36603,http://www.wikidata.org/entity/Q632327
ewn-00228462-n,i36604,http://www.wikidata.org/entity/Q119094
ewn-00228715-n,i36605,http://www.wikidata.org/entity/Q873470
ewn-00228945-n,i36607,http://www.wikidata.org/entity/Q3587621
ewn-00229048-n,i36608,http://www.wikidata.org/entity/Q204933
ewn-00229402-n,i36610,http://www.wikidata.org/entity/Q885621
ewn-00229901-n,i36613,http://www.wikidata.org/entity/Q692573
ewn-00230681-n,i36617,http://www.wikidata.org/entity/Q1462531
ewn-00230801-n,i36618,http://www.wikidata.org/entity/Q897825
